client_id,client_name,client_score,income_bracket,employment_status,state,registration_date
C064,Donna Perez,616,Low,Part-Time,Michigan,2023-11-25
C065,Ronald Roberts,592,Low,Unemployed,North Carolina,2023-12-01
C066,Michelle Cook,743,High,Employed,California,2023-12-05
C067,Edward Bell,668,Medium,Self-Employed,Texas,2023-12-10
C068,Dorothy Murphy,609,Low,Part-Time,New York,2023-12-15
C069,George Rivera,782,High,Employed,Florida,2023-12-20
C070,Karen Cooper,649,Medium,Employed,Illinois,2023-12-25
C071,Jason Reed,718,High,Employed,Pennsylvania,2023-12-30
C072,Angela Bailey,684,Medium,Self-Employed,Ohio,2024-01-05
C073,Eric Kelly,653,Medium,Employed,Georgia,2024-01-10
C074,Kimberly Howard,618,Low,Part-Time,Michigan,2024-01-15
C075,Gary Ward,594,Low,Unemployed,North Carolina,2024-01-20
C076,Melissa Torres,747,High,Employed,California,2024-01-25
C077,Jacob Cox,671,Medium,Self-Employed,Texas,2024-02-01
C078,Amanda Diaz,613,Low,Part-Time,New York,2024-02-05
C079,Larry Flores,788,High,Employed,Florida,2024-02-10
C080,Heather Stewart,652,Medium,Employed,Illinois,2024-02-15
C081,Scott Sanchez,724,High,Employed,Pennsylvania,2024-02-20
C082,Emily Morris,687,Medium,Self-Employed,Ohio,2024-02-25
C083,Brandon Price,656,Medium,Employed,Georgia,2024-03-01
C084,Michelle Long,621,Low,Part-Time,Michigan,2024-03-05
C085,Eric Hughes,597,Low,Unemployed,North Carolina,2024-03-10
C086,Stephanie Butler,751,High,Employed,California,2024-03-15
C087,Justin Foster,674,Medium,Self-Employed,Texas,2024-03-20
C088,Rebecca Gonzales,615,Low,Part-Time,New York,2024-03-25
C089,Stephen Collins,794,High,Employed,Florida,2024-04-01
C090,Sharon Perry,655,Medium,Employed,Illinois,2024-04-05
C091,Jonathan Patterson,727,High,Employed,Pennsylvania,2024-04-10
C092,Katherine Hunt,689,Medium,Self-Employed,Ohio,2024-04-15
C093,Ryan Bennett,659,Medium,Employed,Georgia,2024-04-20
C094,Christina Wood,623,Low,Part-Time,Michigan,2024-04-25
C095,Gregory Barnes,598,Low,Unemployed,North Carolina,2024-05-01
C096,Hannah Ross,755,High,Employed,California,2024-05-05
C097,Benjamin Henderson,677,Medium,Self-Employed,Texas,2024-05-10
C098,Deborah Coleman,617,Low,Part-Time,New York,2024-05-15
C099,Patrick Jenkins,798,High,Employed,Florida,2024-05-20
C100,Catherine Perry,658,Medium,Employed,Illinois,2024-05-25
C101,Samuel Powell,729,High,Employed,Pennsylvania,2024-06-01
C102,Carolyn Simmons,691,Medium,Self-Employed,Ohio,2024-06-05
C103,Aaron Foster,661,Medium,Employed,Georgia,2024-06-10
C104,Amy Bryant,625,Low,Part-Time,Michigan,2024-06-15
C105,Patrick Patterson,601,Low,Unemployed,North Carolina,2024-06-20
C106,Rachel Flores,759,High,Employed,California,2024-06-25
C107,Jack Long,679,Medium,Self-Employed,Texas,2024-07-01
C108,Martha Washington,619,Low,Part-Time,New York,2024-07-05
C109,Henry Brooks,802,High,Employed,Florida,2024-07-10
C110,Janet Bell,660,Medium,Employed,Illinois,2024-07-15
C111,Peter Coleman,731,High,Employed,Pennsylvania,2024-07-20
C112,Cynthia Richardson,693,Medium,Self-Employed,Ohio,2024-07-25
C113,Walter Cox,663,Medium,Employed,Georgia,2024-08-01
C114,Kathleen Howard,627,Low,Part-Time,Michigan,2024-08-05
C115,Dennis Ward,603,Low,Unemployed,North Carolina,2024-08-10
C116,Shirley Torres,763,High,Employed,California,2024-08-15
C117,Jerry Russell,681,Medium,Self-Employed,Texas,2024-08-20
C118,Anna Diaz,621,Low,Part-Time,New York,2024-08-25
C119,Ralph Evans,806,High,Employed,Florida,2024-09-01
C120,Brenda Myers,662,Medium,Employed,Illinois,2024-09-05
C121,Albert Ford,733,High,Employed,Pennsylvania,2024-09-10
C122,Pamela Sanders,695,Medium,Self-Employed,Ohio,2024-09-15
C123,Harold Bryant,665,Medium,Employed,Georgia,2024-09-20
C124,Emma Alexander,629,Low,Part-Time,Michigan,2024-09-25
C125,Willie Griffin,605,Low,Unemployed,North Carolina,2024-10-01
C126,Debra Wallace,767,High,Employed,California,2024-10-05
C127,Johnny Hayes,683,Medium,Self-Employed,Texas,2024-10-10
C128,Cheryl James,623,Low,Part-Time,New York,2024-10-15
C129,Wayne West,810,High,Employed,Florida,2024-10-20
C130,Kelly Cruz,664,Medium,Employed,Illinois,2024-10-25
C131,Billy Fisher,735,High,Employed,Pennsylvania,2024-11-01
C132,Ann Price,697,Medium,Self-Employed,Ohio,2024-11-05
C133,Alan Bennett,667,Medium,Employed,Georgia,2024-11-10
C134,Marie Hughes,631,Low,Part-Time,Michigan,2024-11-15
C135,Eugene Price,607,Low,Unemployed,North Carolina,2024-11-20
C136,Andrea Butler,771,High,Employed,California,2024-11-25
C137,Harry Simmons,685,Medium,Self-Employed,Texas,2024-12-01
C138,Janice Foster,625,Low,Part-Time,New York,2024-12-05
C139,Bruce Patterson,814,High,Employed,Florida,2024-12-10
C140,Diana Long,666,Medium,Employed,Illinois,2024-12-15
C141,Raymond Flores,737,High,Employed,Pennsylvania,2024-12-20
C142,Nicole Washington,699,Medium,Self-Employed,Ohio,2024-12-25
C143,Philip Brooks,669,Medium,Employed,Georgia,2025-01-01
C144,Ruth Coleman,633,Low,Part-Time,Michigan,2025-01-05
C145,Steve Bell,609,Low,Unemployed,North Carolina,2025-01-10
C146,Katherine Richardson,775,High,Employed,California,2025-01-15
C147,Martin Cox,687,Medium,Self-Employed,Texas,2025-01-20
C148,Judith Howard,627,Low,Part-Time,New York,2025-01-25
C149,Dean Ward,818,High,Employed,Florida,2025-02-01
C150,Crystal Torres,668,Medium,Employed,Illinois,2025-02-05
C151,Benjamin Russell,739,High,Employed,Pennsylvania,2025-02-10
C152,Charlotte Diaz,701,Medium,Self-Employed,Ohio,2025-02-15
C153,Samuel Evans,671,Medium,Employed,Georgia,2025-02-20
C154,Victoria Myers,635,Low,Part-Time,Michigan,2025-02-25
C155,Peter Ford,611,Low,Unemployed,North Carolina,2025-03-01
C156,Samantha Sanders,779,High,Employed,California,2025-03-05
C157,Noah Bryant,689,Medium,Self-Employed,Texas,2025-03-10
C158,Grace Alexander,629,Low,Part-Time,New York,2025-03-15
C159,Joseph Griffin,822,High,Employed,Florida,2025-03-20
C160,Zoe Wallace,670,Medium,Employed,Illinois,2025-03-25
C161,David Hayes,741,High,Employed,Pennsylvania,2025-04-01
C162,Ella James,703,Medium,Self-Employed,Ohio,2025-04-05
C163,Henry West,673,Medium,Employed,Georgia,2025-04-10
C164,Scarlett Cruz,637,Low,Part-Time,Michigan,2025-04-15
C165,Andrew Fisher,613,Low,Unemployed,North Carolina,2025-04-20
C166,Avery Price,783,High,Employed,California,2025-04-25
C167,Jack Bennett,691,Medium,Self-Employed,Texas,2025-05-01
C168,Chloe Hughes,631,Low,Part-Time,New York,2025-05-05
C169,Luke Patterson,826,High,Employed,Florida,2025-05-10
C170,Lily Long,672,Medium,Employed,Illinois,2025-05-15
C171,Daniel Flores,743,High,Employed,Pennsylvania,2025-05-20
C172,Sofia Washington,705,Medium,Self-Employed,Ohio,2025-05-25
C173,Matthew Brooks,675,Medium,Employed,Georgia,2025-06-01
C174,Addison Coleman,639,Low,Part-Time,Michigan,2025-06-05
C175,Leo Bell,615,Low,Unemployed,North Carolina,2025-06-10
C176,Abigail Richardson,787,High,Employed,California,2025-06-15
C177,Jackson Cox,693,Medium,Self-Employed,Texas,2025-06-20
C178,Harper Howard,633,Low,Part-Time,New York,2025-06-25
C179,Sebastian Ward,830,High,Employed,Florida,2025-07-01
C180,Evelyn Torres,674,Medium,Employed,Illinois,2025-07-05
C181,Aiden Russell,745,High,Employed,Pennsylvania,2025-07-10
C182,Emily Diaz,707,Medium,Self-Employed,Ohio,2025-07-15
C183,Carter Evans,677,Medium,Employed,Georgia,2025-07-20
C184,Elizabeth Myers,641,Low,Part-Time,Michigan,2025-07-25
C185,Jacob Ford,617,Low,Unemployed,North Carolina,2025-08-01
C186,Mila Sanders,791,High,Employed,California,2025-08-05
C187,Michael Bryant,695,Medium,Self-Employed,Texas,2025-08-10
C188,Eleanor Alexander,635,Low,Part-Time,New York,2025-08-15
C189,Logan Griffin,834,High,Employed,Florida,2025-08-20
C190,Penelope Wallace,676,Medium,Employed,Illinois,2025-08-25
C191,John Hayes,747,High,Employed,Pennsylvania,2025-09-01
C192,Hannah James,709,Medium,Self-Employed,Ohio,2025-09-05
C193,William West,679,Medium,Employed,Georgia,2025-09-10
C194,Lillian Cruz,643,Low,Part-Time,Michigan,2025-09-15
C195,James Fisher,619,Low,Unemployed,North Carolina,2025-09-20
C196,Victoria Price,795,High,Employed,California,2025-09-25
C197,Benjamin Bennett,697,Medium,Self-Employed,Texas,2025-10-01
C198,Natalie Hughes,637,Low,Part-Time,New York,2025-10-05
C199,Mason Patterson,838,High,Employed,Florida,2025-10-10
C200,Grace Long,678,Medium,Employed,Illinois,2025-10-15
C201,Ethan Flores,749,High,Employed,Pennsylvania,2025-10-20
C202,Scarlett Washington,711,Medium,Self-Employed,Ohio,2025-10-25
C203,Alexander Brooks,681,Medium,Employed,Georgia,2025-11-01
C204,Chloe Coleman,645,Low,Part-Time,Michigan,2025-11-05
C205,Daniel Bell,621,Low,Unemployed,North Carolina,2025-11-10
C206,Zoey Richardson,799,High,Employed,California,2025-11-15
C207,Matthew Cox,699,Medium,Self-Employed,Texas,2025-11-20
C208,Aria Howard,639,Low,Part-Time,New York,2025-11-25
C209,David Ward,842,High,Employed,Florida,2025-12-01
C210,Layla Torres,680,Medium,Employed,Illinois,2025-12-05
C211,Joseph Russell,751,High,Employed,Pennsylvania,2025-12-10
C212,Ellie Diaz,713,Medium,Self-Employed,Ohio,2025-12-15
C213,Samuel Evans,683,Medium,Employed,Georgia,2025-12-20
C214,Aubrey Myers,647,Low,Part-Time,Michigan,2025-12-25
C215,Henry Ford,623,Low,Unemployed,North Carolina,2026-01-01
C216,Stella Sanders,803,High,Employed,California,2026-01-05
C217,Andrew Bryant,701,Medium,Self-Employed,Texas,2026-01-10
C218,Hazel Alexander,641,Low,Part-Time,New York,2026-01-15
C219,Jack Griffin,846,High,Employed,Florida,2026-01-20
C220,Violet Wallace,682,Medium,Employed,Illinois,2026-01-25
C221,Luke Hayes,753,High,Employed,Pennsylvania,2026-02-01
C222,Luna James,715,Medium,Self-Employed,Ohio,2026-02-05
C223,Gabriel West,685,Medium,Employed,Georgia,2026-02-10
C224,Nora Cruz,649,Low,Part-Time,Michigan,2026-02-15
C225,Julian Fisher,625,Low,Unemployed,North Carolina,2026-02-20
C226,Leah Price,807,High,Employed,California,2026-02-25
C227,Levi Bennett,703,Medium,Self-Employed,Texas,2026-03-01
C228,Addison Hughes,643,Low,Part-Time,New York,2026-03-05
C229,Christopher Patterson,850,High,Employed,Florida,2026-03-10
C230,Riley Long,684,Medium,Employed,Illinois,2026-03-15
C231,Joshua Flores,755,High,Employed,Pennsylvania,2026-03-20
C232,Eliana Washington,717,Medium,Self-Employed,Ohio,2026-03-25
C233,Isaac Brooks,687,Medium,Employed,Georgia,2026-04-01
C234,Nova Coleman,651,Low,Part-Time,Michigan,2026-04-05
C235,Anthony Bell,627,Low,Unemployed,North Carolina,2026-04-10
C236,Genesis Richardson,811,High,Employed,California,2026-04-15
C237,Dylan Cox,705,Medium,Self-Employed,Texas,2026-04-20
C238,Emery Howard,645,Low,Part-Time,New York,2026-04-25
C239,Thomas Ward,854,High,Employed,Florida,2026-05-01
C240,Kinsley Torres,686,Medium,Employed,Illinois,2026-05-05
C241,Charles Russell,757,High,Employed,Pennsylvania,2026-05-10
C242,Savannah Diaz,719,Medium,Self-Employed,Ohio,2026-05-15
C243,Josiah Evans,689,Medium,Employed,Georgia,2026-05-20
C244,Willow Myers,653,Low,Part-Time,Michigan,2026-05-25
C245,Jonathan Ford,629,Low,Unemployed,North Carolina,2026-06-01
C246,Elena Sanders,815,High,Employed,California,2026-06-05
C247,Isaiah Bryant,707,Medium,Self-Employed,Texas,2026-06-10
C248,Claire Alexander,647,Low,Part-Time,New York,2026-06-15
C249,Aaron Griffin,858,High,Employed,Florida,2026-06-20
C250,Lucy Wallace,688,Medium,Employed,Illinois,2026-06-25
C251,Christopher Hayes,759,High,Employed,Pennsylvania,2026-07-01
C252,Anna James,721,Medium,Self-Employed,Ohio,2026-07-05
C253,Jaxon West,691,Medium,Employed,Georgia,2026-07-10
C254,Caroline Cruz,655,Low,Part-Time,Michigan,2026-07-15
C255,Ryan Fisher,631,Low,Unemployed,North Carolina,2026-07-20
C256,Natalie Price,819,High,Employed,California,2026-07-25
C257,Nathan Bennett,709,Medium,Self-Employed,Texas,2026-08-01
C258,Kennedy Hughes,649,Low,Part-Time,New York,2026-08-05
C259,Cameron Patterson,862,High,Employed,Florida,2026-08-10
C260,Sarah Long,690,Medium,Employed,Illinois,2026-08-15
C261,Colton Flores,761,High,Employed,Pennsylvania,2026-08-20
C262,Allison Washington,723,Medium,Self-Employed,Ohio,2026-08-25
C263,Adrian Brooks,693,Medium,Employed,Georgia,2026-09-01
C264,Mackenzie Coleman,657,Low,Part-Time,Michigan,2026-09-05
C265,Eli Bell,633,Low,Unemployed,North Carolina,2026-09-10
C266,Hannah Richardson,823,High,Employed,California,2026-09-15
C267,Carson Cox,711,Medium,Self-Employed,Texas,2026-09-20
C268,Maya Howard,651,Low,Part-Time,New York,2026-09-25
C269,Robert Ward,866,High,Employed,Florida,2026-10-01
C270,Skylar Torres,692,Medium,Employed,Illinois,2026-10-05
C271,Xavier Russell,763,High,Employed,Pennsylvania,2026-10-10
C272,Madison Diaz,725,Medium,Self-Employed,Ohio,2026-10-15
C273,Josiah Evans,695,Medium,Employed,Georgia,2026-10-20
C274,Aurora Myers,659,Low,Part-Time,Michigan,2026-10-25
C275,Cooper Ford,635,Low,Unemployed,North Carolina,2026-11-01
C276,Alexis Sanders,827,High,Employed,California,2026-11-05
C277,Easton Bryant,713,Medium,Self-Employed,Texas,2026-11-10
C278,Elena Alexander,653,Low,Part-Time,New York,2026-11-15
C279,Jordan Griffin,870,High,Employed,Florida,2026-11-20
C280,Bella Wallace,694,Medium,Employed,Illinois,2026-11-25
C281,Jeremiah Hayes,765,High,Employed,Pennsylvania,2026-12-01
C282,Eva James,727,Medium,Self-Employed,Ohio,2026-12-05
C283,Angel West,697,Medium,Employed,Georgia,2026-12-10
C284,Emilia Cruz,661,Low,Part-Time,Michigan,2026-12-15
C285,Brayden Fisher,637,Low,Unemployed,North Carolina,2026-12-20
C286,Kylie Price,831,High,Employed,California,2026-12-25
C287,Roman Bennett,715,Medium,Self-Employed,Texas,2026-12-30
C288,Clara Hughes,655,Low,Part-Time,New York,2027-01-05
C289,Asher Patterson,874,High,Employed,Florida,2027-01-10
C290,Hadley Long,696,Medium,Employed,Illinois,2027-01-15
C291,Leo Flores,767,High,Employed,Pennsylvania,2027-01-20
C292,Gianna Washington,729,Medium,Self-Employed,Ohio,2027-01-25
C293,Mateo Brooks,699,Medium,Employed,Georgia,2027-02-01
C294,Isla Coleman,663,Low,Part-Time,Michigan,2027-02-05
C295,Lincoln Bell,639,Low,Unemployed,North Carolina,2027-02-10
C296,Paisley Richardson,835,High,Employed,California,2027-02-15
C297,Grayson Cox,717,Medium,Self-Employed,Texas,2027-02-20
C298,Ellie Howard,657,Low,Part-Time,New York,2027-02-25
C299,Nicholas Ward,878,High,Employed,Florida,2027-03-01
C300,Rose Torres,698,Medium,Employed,Illinois,2027-03-05
C301,Julian Russell,769,High,Employed,Pennsylvania,2027-03-10
C302,Adeline Diaz,731,Medium,Self-Employed,Ohio,2027-03-15
C303,Christian Evans,701,Medium,Employed,Georgia,2027-03-20
C304,Reagan Myers,665,Low,Part-Time,Michigan,2027-03-25
C305,Landon Ford,641,Low,Unemployed,North Carolina,2027-04-01
C306,Elise Sanders,839,High,Employed,California,2027-04-05
C307,Jonathan Bryant,719,Medium,Self-Employed,Texas,2027-04-10
C308,Lydia Alexander,659,Low,Part-Time,New York,2027-04-15
C309,Eli Griffin,882,High,Employed,Florida,2027-04-20
C310,Josephine Wallace,700,Medium,Employed,Illinois,2027-04-25
C311,Colin Hayes,771,High,Employed,Pennsylvania,2027-05-01
C312,Margaret James,733,Medium,Self-Employed,Ohio,2027-05-05
C313,Maxwell West,703,Medium,Employed,Georgia,2027-05-10
C314,Delilah Cruz,667,Low,Part-Time,Michigan,2027-05-15
C315,Harrison Fisher,643,Low,Unemployed,North Carolina,2027-05-20
C316,Ada Price,843,High,Employed,California,2027-05-25
C317,Calvin Bennett,721,Medium,Self-Employed,Texas,2027-06-01
C318,Katherine Hughes,661,Low,Part-Time,New York,2027-06-05
C319,Arthur Patterson,886,High,Employed,Florida,2027-06-10
C320,Clara Long,702,Medium,Employed,Illinois,2027-06-15
C321,Timothy Flores,773,High,Employed,Pennsylvania,2027-06-20
C322,Vivian Washington,735,Medium,Self-Employed,Ohio,2027-06-25
C323,Ezekiel Brooks,705,Medium,Employed,Georgia,2027-07-01
C324,Sadie Coleman,669,Low,Part-Time,Michigan,2027-07-05
C325,Theodore Bell,645,Low,Unemployed,North Carolina,2027-07-10
C326,Hazel Richardson,847,High,Employed,California,2027-07-15
C327,Jeremy Cox,723,Medium,Self-Employed,Texas,2027-07-20
C328,Grace Howard,663,Low,Part-Time,New York,2027-07-25
C329,Kingston Ward,890,High,Employed,Florida,2027-08-01
C330,Penelope Torres,704,Medium,Employed,Illinois,2027-08-05
C331,Edward Russell,775,High,Employed,Pennsylvania,2027-08-10
C332,Brielle Diaz,737,Medium,Self-Employed,Ohio,2027-08-15
C333,Asher Evans,707,Medium,Employed,Georgia,2027-08-20
C334,Isabelle Myers,671,Low,Part-Time,Michigan,2027-08-25
C335,Greyson Ford,647,Low,Unemployed,North Carolina,2027-09-01
C336,Eloise Sanders,851,High,Employed,California,2027-09-05
C337,Wyatt Bryant,725,Medium,Self-Employed,Texas,2027-09-10
C338,Liliana Alexander,665,Low,Part-Time,New York,2027-09-15
C339,Bennett Griffin,894,High,Employed,Florida,2027-09-20
C340,Aaliyah Wallace,706,Medium,Employed,Illinois,2027-09-25
C341,Wesley Hayes,777,High,Employed,Pennsylvania,2027-10-01
C342,Melanie James,739,Medium,Self-Employed,Ohio,2027-10-05
C343,Kai West,709,Medium,Employed,Georgia,2027-10-10
C344,Mckenzie Cruz,673,Low,Part-Time,Michigan,2027-10-15
C345,Kaden Fisher,649,Low,Unemployed,North Carolina,2027-10-20
C346,Reese Price,855,High,Employed,California,2027-10-25
C347,Bryson Bennett,727,Medium,Self-Employed,Texas,2027-11-01
C348,Arabella Hughes,667,Low,Part-Time,New York,2027-11-05
C349,Maximus Patterson,898,High,Employed,Florida,2027-11-10
C350,Payton Long,708,Medium,Employed,Illinois,2027-11-15
C351,George Flores,779,High,Employed,Pennsylvania,2027-11-20
C352,Laila Washington,741,Medium,Self-Employed,Ohio,2027-11-25
C353,Justin Brooks,711,Medium,Employed,Georgia,2027-12-01
C354,Sienna Coleman,675,Low,Part-Time,Michigan,2027-12-05
C355,Braxton Bell,651,Low,Unemployed,North Carolina,2027-12-10
C356,Juliette Richardson,859,High,Employed,California,2027-12-15
C357,Declan Cox,729,Medium,Self-Employed,Texas,2027-12-20
C358,Elaina Howard,669,Low,Part-Time,New York,2027-12-25
C359,Weston Ward,902,High,Employed,Florida,2028-01-01
C360,Alaina Torres,710,Medium,Employed,Illinois,2028-01-05
C361,Jameson Russell,781,High,Employed,Pennsylvania,2028-01-10
C362,Miriam Diaz,743,Medium,Self-Employed,Ohio,2028-01-15
C363,Kaiden Evans,713,Medium,Employed,Georgia,2028-01-20
C364,Londyn Myers,677,Low,Part-Time,Michigan,2028-01-25
C365,King Ford,653,Low,Unemployed,North Carolina,2028-02-01
C366,Jenna Sanders,863,High,Employed,California,2028-02-05
C367,Camden Bryant,731,Medium,Self-Employed,Texas,2028-02-10
C368,Kaitlyn Alexander,671,Low,Part-Time,New York,2028-02-15
C369,Roman Griffin,906,High,Employed,Florida,2028-02-20
C370,Molly Wallace,712,Medium,Employed,Illinois,2028-02-25
C371,Leonardo Hayes,783,High,Employed,Pennsylvania,2028-03-01
C372,Valentina James,745,Medium,Self-Employed,Ohio,2028-03-05
C373,Axel West,715,Medium,Employed,Georgia,2028-03-10
C374,Angelina Cruz,679,Low,Part-Time,Michigan,2028-03-15
C375,Beau Fisher,655,Low,Unemployed,North Carolina,2028-03-20
C376,Isabel Price,867,High,Employed,California,2028-03-25
C377,Walker Bennett,733,Medium,Self-Employed,Texas,2028-04-01
C378,Lucia Hughes,673,Low,Part-Time,New York,2028-04-05
C379,Atlas Patterson,910,High,Employed,Florida,2028-04-10
C380,Elliana Long,714,Medium,Employed,Illinois,2028-04-15
C381,Harvey Flores,785,High,Employed,Pennsylvania,2028-04-20
C382,Anastasia Washington,747,Medium,Self-Employed,Ohio,2028-04-25
C383,Kyle Brooks,717,Medium,Employed,Georgia,2028-05-01
C384,Marley Coleman,681,Low,Part-Time,Michigan,2028-05-05
C385,Jude Bell,657,Low,Unemployed,North Carolina,2028-05-10
C386,Gabriela Richardson,871,High,Employed,California,2028-05-15
C387,Griffin Cox,735,Medium,Self-Employed,Texas,2028-05-20
C388,Alyssa Howard,675,Low,Part-Time,New York,2028-05-25
C389,Rory Ward,914,High,Employed,Florida,2028-06-01
C390,Fiona Torres,716,Medium,Employed,Illinois,2028-06-05
C391,Oscar Russell,787,High,Employed,Pennsylvania,2028-06-10
C392,Summer Diaz,749,Medium,Self-Employed,Ohio,2028-06-15
C393,Derek Evans,719,Medium,Employed,Georgia,2028-06-20
C394,Amaya Myers,683,Low,Part-Time,Michigan,2028-06-25
C395,Beckett Ford,659,Low,Unemployed,North Carolina,2028-07-01
C396,Valerie Sanders,875,High,Employed,California,2028-07-05
C397,Preston Bryant,737,Medium,Self-Employed,Texas,2028-07-10
C398,Rylee Alexander,677,Low,Part-Time,New York,2028-07-15
C399,Spencer Griffin,918,High,Employed,Florida,2028-07-20
C400,Alana Wallace,718,Medium,Employed,Illinois,2028-07-25
C401,Maximus Hayes,789,High,Employed,Pennsylvania,2028-08-01
C402,Genevieve James,751,Medium,Self-Employed,Ohio,2028-08-05
C403,Collin West,721,Medium,Employed,Georgia,2028-08-10
C404,Adalynn Cruz,685,Low,Part-Time,Michigan,2028-08-15
C405,Knox Fisher,661,Low,Unemployed,North Carolina,2028-08-20
C406,Nina Price,879,High,Employed,California,2028-08-25
C407,Kameron Bennett,739,Medium,Self-Employed,Texas,2028-09-01
C408,Emersyn Hughes,679,Low,Part-Time,New York,2028-09-05
C409,Thatcher Patterson,922,High,Employed,Florida,2028-09-10
C410,Lilith Long,720,Medium,Employed,Illinois,2028-09-15
C411,Dean Flores,791,High,Employed,Pennsylvania,2028-09-20
C412,Lila Washington,753,Medium,Self-Employed,Ohio,2028-09-25
C413,Zane Brooks,723,Medium,Employed,Georgia,2028-10-01
C414,Kali Coleman,687,Low,Part-Time,Michigan,2028-10-05
C415,Enzo Bell,663,Low,Unemployed,North Carolina,2028-10-10
C416,Maeve Richardson,883,High,Employed,California,2028-10-15
C417,Kyson Cox,741,Medium,Self-Employed,Texas,2028-10-20
C418,Pearl Howard,681,Low,Part-Time,New York,2028-10-25
C419,Banks Ward,926,High,Employed,Florida,2028-11-01
C420,Evangeline Torres,722,Medium,Employed,Illinois,2028-11-05
C421,Kellen Russell,793,High,Employed,Pennsylvania,2028-11-10
C422,Lennon Diaz,755,Medium,Self-Employed,Ohio,2028-11-15
C423,Arthur Evans,725,Medium,Employed,Georgia,2028-11-20
